Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
Miss,Miss,miss,134.74,135,,those,those,those,132.07,132.28
"Flores,",Flores,flores,135.01,135.59,,green,green,green,132.28,132.59
clapped,clapped,clapped,135.73,136.03,,circles,circles,circles,132.59,133.07
her,her,her,136.03,136.16,,and,and,and,133.11,133.28
hands.,hands,hands,136.16,136.67,,spirals,spirals,spirals,133.28,133.81
Back,Back,back,137.19,137.47,,on,on,on,133.83,133.98
to,to,to,137.469999,137.579999,,her,her,her,133.98,134.04
your,your,your,137.58,137.75,,carapace.,carapace,<unk>,134.05,134.7
"seats,",seats,seats,137.75,138.11,,Carapace!,Carapace,<unk>,136.179999,136.189999
class!,class,class,138.11,138.65,,That,That,that,136.469999,136.659999
It's,It's,it's,139.07,139.27,,means,means,means,136.66,136.86
time,time,time,139.27,139.47,,shell!,shell,shell,136.86,137.41
for,for,for,139.469999,139.619999,,Tully,Tully,tully,137.7,138.01
language,language,language,139.62,140.07,,interjected.,interjected,interjected,138.009999,138.709999
arts.,arts,arts,140.07,140.46,,Very,Very,very,139.45,139.82
Miss,Miss,miss,141.139999,141.359999,,"good,",good,good,139.82,140.23
Flores,Flores,flores,141.37,141.82,,Mr,Mr,mr,140.46,140.74
pointed,pointed,pointed,141.839999,142.209999,,Hornswoggle,Hornswoggle,<unk>,140.74,141.23
to,to,to,142.209999,142.299999,,said.,said,said,141.23,141.55
the,the,the,142.299999,142.409999,,Would,Would,would,142.709999,142.869999
"whiteboard,",whiteboard,<unk>,142.65,142.97,,someone,someone,someone,142.869999,143.169999
which,which,which,143.15,143.28,,want,want,want,143.18,143.51
had,had,had,143.279999,143.399999,,Coco,Coco,coco,143.51,143.89
a,a,a,143.4,143.52,,because,because,because,143.889999,144.209999
bunch,bunch,bunch,143.529999,143.819999,,she's,she's,she's,144.209999,144.459999
of,of,of,143.82,143.94,,rare?,rare,rare,144.46,144.94
sentences,sentences,sentences,144.02,144.53,,Mr,Mr,mr,145.32,145.61
on,on,on,144.53,144.68,,Hornswoggle,Hornswoggle,<unk>,146.05,146.06
it.,it,it,144.68,144.84,,nodded.,nodded,nodded,146.06,146.48
This,This,this,145.6,145.85,,Possibly.,Possibly,possibly,147.24,147.83
"morning,",morning,morning,145.85,146.29,,An,An,an,148.19,148.35
we,we,we,146.33,146.52,,adult,adult,adult,148.36,148.71
